threads,dq,branch-misses,branches,cache-misses,cycles,duration_time,instructions,task-clock,time_s,ipc,cache_miss_per_instruction,duration_time_s,speedup,efficiency
1,2,1389916150.0,106633259370.0,16302109.0,243401149117.0,195031746857.0,723675288400.0,194874.0,194.874,2.973179424276826,2.252682834596014e-05,195.031746857,1.0,1.0
1,4,176886619.0,16115435543.0,13979512.0,45859990599.0,29357129077.0,154321489272.0,29328.0,29.328,3.365057150172313,9.058694330872061e-05,29.357129077,1.0,1.0
1,8,26030752.0,3629173932.0,11641425.0,16940650852.0,7229504092.0,57066473559.0,7226.0,7.226,3.368611634674165,0.0002039976237179636,7.229504092,1.0,1.0
1,16,3918556.0,1539325680.0,11826812.0,10014945073.0,3422690944.0,35346387598.0,3419.0,3.419,3.529364099389105,0.00033459747384961044,3.422690944,1.0,1.0
1,32,838647.0,1020124003.0,9793668.0,6467364237.0,2097755030.0,28227253431.0,2095.0,2.095,4.364568376945738,0.00034695787969382473,2.09775503,1.0,1.0
1,64,1203554.0,827800312.0,9917660.0,5150690752.0,1650822910.0,25229616413.0,1648.0,1.648,4.898297651281705,0.00039309594873149765,1.65082291,1.0,1.0
1,128,323538.0,740452661.0,13813217.0,4910084504.0,1563971865.0,23824691764.0,1562.0,1.562,4.852195872513236,0.0005797857591119935,1.563971865,1.0,1.0
1,256,7280131.0,697976824.0,143091864.0,5400434987.0,1721154998.0,23139852895.0,1719.0,1.719,4.284812788359191,0.006183784514503933,1.721154998,1.0,1.0
1,512,51671.0,676914136.0,45574016.0,4863233818.0,1547585555.0,22801115318.0,1546.0,1.546,4.6884678325783105,0.0019987625764965222,1.547585555,1.0,1.0
1,1024,38373.0,666410785.0,25573296.0,4712058305.0,1507699531.0,22632575051.0,1506.0,1.506,4.8031186343735195,0.0011299331137695737,1.507699531,1.0,1.0
1,2048,1081663.0,661163638.0,6141076.0,5184802904.0,1660475569.0,22548497617.0,1658.0,1.658,4.3489594560294975,0.00027234967510075066,1.660475569,1.0,1.0
2,2,1386248187.0,108587525108.0,162625369.0,254945584711.0,99637830110.0,733632799386.0,197877.0,197.877,2.877605431832161,0.00022167134448746866,99.63783011,0.9848239057596385,0.49241195287981926
2,4,175181341.0,16362181307.0,26184731.0,45444049048.0,14489516113.0,155580122540.0,28684.0,28.684,3.4235532660320263,0.00016830383324365777,14.489516113,1.0224515409287407,0.5112257704643703
2,8,25812147.0,3659659583.0,8419588.0,16205769312.0,3492134843.0,57222820397.0,6923.0,6.923,3.5310153622036204,0.00014713689296659362,3.492134843,1.0437671529683663,0.5218835764841832
2,16,3884680.0,1543965030.0,4706269.0,9058892045.0,1585607321.0,35368937239.0,3103.0,3.103,3.904333671635006,0.0001330622112900405,1.585607321,1.101836932001289,0.5509184660006445
2,32,799829.0,1020858580.0,8161134.0,5978973280.0,992618609.0,28230557997.0,1929.0,1.929,4.721639765715762,0.00028908865353873865,0.992618609,1.0860549507516848,0.5430274753758424
2,64,1185117.0,828657058.0,8468859.0,4938304695.0,819424421.0,25232712383.0,1575.0,1.575,5.109590019536046,0.000335630148334973,0.819424421,1.0463492063492064,0.5231746031746032
2,128,313429.0,741211284.0,11894534.0,4660215925.0,773231573.0,23827363092.0,1481.0,1.481,5.112931133550426,0.0004991964051613236,0.773231573,1.0546927751519244,0.5273463875759622
2,256,6831381.0,698764031.0,66992050.0,5050952036.0,846620366.0,23142611388.0,1635.0,1.635,4.581831548399998,0.002894748949322849,0.846620366,1.0513761467889908,0.5256880733944954
2,512,53042.0,677617212.0,37107580.0,4676038003.0,792410210.0,22803577301.0,1532.0,1.532,4.876687761384732,0.0016272701212705224,0.79241021,1.0091383812010444,0.5045691906005222
2,1024,37121.0,667141476.0,18820719.0,4615481929.0,787228646.0,22635133714.0,1484.0,1.484,4.904175568704734,0.0008314825632489745,0.787228646,1.0148247978436657,0.5074123989218329
2,2048,1080801.0,661163539.0,5564243.0,4644815874.0,1481203221.0,22548497517.0,1480.0,1.48,4.854551424356418,0.00024676779443086826,1.481203221,1.1202702702702703,0.5601351351351351
4,2,1396942136.0,109258121289.0,176164206.0,257205761860.0,50760195519.0,736999981691.0,201990.0,201.99,2.8654100762025596,0.00023902877934379636,50.760195519,0.9647705331947125,0.24119263329867813
4,4,175620841.0,16449414327.0,27336645.0,45003911742.0,7251539425.0,156017133897.0,28745.0,28.745,3.466746064018179,0.0001752156594419124,7.251539425,1.0202817881370672,0.2550704470342668
4,8,25944983.0,3672503167.0,8785694.0,14775174959.0,1819769631.0,57285696545.0,7080.0,7.08,3.877158592298467,0.0001533662769221723,1.819769631,1.0206214689265536,0.2551553672316384
4,16,3861828.0,1545080433.0,4639302.0,8022965723.0,849041714.0,35374992720.0,3241.0,3.241,4.409216484446397,0.0001311463732790275,0.849041714,1.0549213205800678,0.26373033014501696
4,32,818318.0,1021529136.0,11708956.0,6222321108.0,591781630.0,28233132304.0,2212.0,2.212,4.537395581803201,0.0004147239446875366,0.59178163,0.9471066907775768,0.2367766726943942
4,64,1214494.0,828641700.0,16089434.0,5158621060.0,513121341.0,25232714691.0,1890.0,1.89,4.891368138407127,0.0006376418152795417,0.513121341,0.8719576719576719,0.21798941798941798
4,128,315885.0,741695886.0,28036248.0,4875405858.0,490167648.0,23829065725.0,1791.0,1.791,4.887606574517103,0.001176556744756723,0.490167648,0.8721384701284199,0.21803461753210499
4,256,7987354.0,700532177.0,372884267.0,5220093462.0,533766441.0,23148804199.0,1973.0,1.973,4.434557420765199,0.016108143807104652,0.533766441,0.8712620375063356,0.2178155093765839
4,512,52784.0,677640607.0,259165408.0,5276525832.0,519694033.0,22803662839.0,1914.0,1.914,4.3217191699707005,0.01136507805038943,0.519694033,0.8077324973876698,0.20193312434691746
4,1024,37707.0,668145096.0,61051486.0,4502978761.0,489133953.0,22638648268.0,1789.0,1.789,5.027482799624068,0.002696781418981495,0.489133953,0.8418110676355506,0.21045276690888765
4,2048,1080711.0,661163567.0,6860273.0,4887332428.0,1562389960.0,22548497546.0,1560.0,1.56,4.613661517439959,0.0003042452378924458,1.56238996,1.0628205128205128,0.2657051282051282
6,2,1397045794.0,109260271201.0,173222165.0,255873449514.0,50581066363.0,736999861286.0,199704.0,199.704,2.880329564031908,0.0002350369031247069,50.581066363,0.9758142050234346,0.1626357008372391
6,4,176370441.0,16534319826.0,28457795.0,45139275450.0,7387522064.0,156453473085.0,29397.0,29.397,3.466016490634654,0.00018189302186049326,7.387522064,0.9976528217165017,0.1662754702860836
6,8,26128238.0,3684091528.0,12306372.0,15412699550.0,1886976016.0,57343585190.0,7310.0,7.31,3.7205412980362675,0.00021460764895017546,1.886976016,0.9885088919288646,0.1647514819881441
6,16,4173402.0,1548377864.0,17332442.0,9478234477.0,977435302.0,35388668128.0,3750.0,3.75,3.733677217405264,0.0004897737868322412,0.977435302,0.9117333333333334,0.15195555555555557
6,32,822015.0,1023387929.0,10141335.0,6143670950.0,607660763.0,28239862335.0,2285.0,2.285,4.596577936030249,0.0003591141797965142,0.607660763,0.9168490153172867,0.1528081692195478
6,64,1264988.0,830573151.0,18311260.0,5437238128.0,564511060.0,25239508816.0,2120.0,2.12,4.6419723068638055,0.000725499855543623,0.56451106,0.7773584905660377,0.12955974842767295
6,128,344101.0,743678902.0,32592360.0,5349702887.0,602917738.0,23836007935.0,2246.0,2.246,4.455576027020583,0.0013673581620243743,0.602917738,0.6954585930543188,0.11590976550905313
6,256,7439665.0,701562304.0,115182490.0,5628947712.0,715063075.0,23152411925.0,2711.0,2.711,4.113097706635794,0.004974967203120026,0.715063075,0.6340833640722982,0.10568056067871635
6,512,57686.0,681095488.0,223124060.0,5540134997.0,568622899.0,22815757544.0,2112.0,2.112,4.11826743506337,0.00977938425098124,0.568622899,0.7320075757575757,0.12200126262626261
6,1024,41333.0,670636436.0,61999312.0,4842592576.0,541496729.0,22647370316.0,2003.0,2.003,4.676703637683849,0.0027375943049864158,0.541496729,0.7518721917124314,0.12531203195207188
6,2048,1081692.0,661163657.0,7834058.0,5014409494.0,1606082105.0,22548497635.0,1604.0,1.604,4.496740376305613,0.00034743148420850433,1.606082105,1.0336658354114712,0.1722776392352452
8,2,1399797766.0,109936017669.0,177932416.0,259263836753.0,50561879749.0,740453504819.0,201828.0,201.828,2.8559845217612363,0.00024030194312267406,50.561879749,0.9655449194363517,0.12069311492954396
8,4,178418988.0,16536339757.0,34412618.0,47728125226.0,8110509692.0,156460550159.0,31733.0,31.733,3.2781624968115817,0.0002199443755312687,8.110509692,0.9242113887750921,0.11552642359688652
8,8,25991564.0,3674086827.0,8441098.0,14591332140.0,1795207423.0,57290729455.0,7021.0,7.021,3.926353598513864,0.00014733793897021694,1.795207423,1.0291981199259366,0.12864976499074207
8,16,3913997.0,1548978945.0,4852645.0,8232891592.0,865414320.0,35388642230.0,3333.0,3.333,4.298446279116267,0.00013712436234375415,0.86541432,1.0258025802580257,0.12822532253225322
8,32,810115.0,1025812166.0,10565942.0,6185933837.0,596633627.0,28248348961.0,2270.0,2.27,4.566545602547155,0.00037403750621275116,0.596633627,0.9229074889867842,0.11536343612334803
