threads,dq,event,value
10,256,task-clock,2120.0
10,256,cycles,5484947926.0
10,256,instructions,23160801384.0
10,256,cache-misses,389536367.0
10,256,branches,703957859.0
10,256,branch-misses,8064144.0
10,256,duration_time,554159442.0
10,512,task-clock,2035.0
10,512,cycles,5583560706.0
10,512,instructions,22824781765.0
10,512,cache-misses,260926653.0
10,512,branches,683672517.0
10,512,branch-misses,55914.0
10,512,duration_time,534700513.0
12,256,task-clock,2087.0
12,256,cycles,5432705670.0
12,256,instructions,23166987717.0
12,256,cache-misses,367712119.0
12,256,branches,705724987.0
12,256,branch-misses,7853884.0
12,256,duration_time,542641888.0
12,512,task-clock,2049.0
12,512,cycles,5573152968.0
12,512,instructions,22828282231.0
12,512,cache-misses,249827771.0
12,512,branches,684671997.0
12,512,branch-misses,55545.0
12,512,duration_time,534193708.0
1,2,task-clock,194874.0
1,2,cycles,243401149117.0
1,2,instructions,723675288400.0
1,2,cache-misses,16302109.0
1,2,branches,106633259370.0
1,2,branch-misses,1389916150.0
1,2,duration_time,195031746857.0
1,4,task-clock,29328.0
1,4,cycles,45859990599.0
1,4,instructions,154321489272.0
1,4,cache-misses,13979512.0
1,4,branches,16115435543.0
1,4,branch-misses,176886619.0
1,4,duration_time,29357129077.0
1,8,task-clock,7226.0
1,8,cycles,16940650852.0
1,8,instructions,57066473559.0
1,8,cache-misses,11641425.0
1,8,branches,3629173932.0
1,8,branch-misses,26030752.0
1,8,duration_time,7229504092.0
1,16,task-clock,3419.0
1,16,cycles,10014945073.0
1,16,instructions,35346387598.0
1,16,cache-misses,11826812.0
1,16,branches,1539325680.0
1,16,branch-misses,3918556.0
1,16,duration_time,3422690944.0
1,32,task-clock,2095.0
1,32,cycles,6467364237.0
1,32,instructions,28227253431.0
1,32,cache-misses,9793668.0
1,32,branches,1020124003.0
1,32,branch-misses,838647.0
1,32,duration_time,2097755030.0
1,64,task-clock,1648.0
1,64,cycles,5150690752.0
1,64,instructions,25229616413.0
1,64,cache-misses,9917660.0
1,64,branches,827800312.0
1,64,branch-misses,1203554.0
1,64,duration_time,1650822910.0
1,128,task-clock,1562.0
1,128,cycles,4910084504.0
1,128,instructions,23824691764.0
1,128,cache-misses,13813217.0
1,128,branches,740452661.0
1,128,branch-misses,323538.0
1,128,duration_time,1563971865.0
1,256,task-clock,1719.0
1,256,cycles,5400434987.0
1,256,instructions,23139852895.0
1,256,cache-misses,143091864.0
1,256,branches,697976824.0
1,256,branch-misses,7280131.0
1,256,duration_time,1721154998.0
1,512,task-clock,1546.0
1,512,cycles,4863233818.0
1,512,instructions,22801115318.0
1,512,cache-misses,45574016.0
1,512,branches,676914136.0
1,512,branch-misses,51671.0
1,512,duration_time,1547585555.0
1,1024,task-clock,1506.0
1,1024,cycles,4712058305.0
1,1024,instructions,22632575051.0
1,1024,cache-misses,25573296.0
1,1024,branches,666410785.0
1,1024,branch-misses,38373.0
1,1024,duration_time,1507699531.0
1,2048,task-clock,1658.0
1,2048,cycles,5184802904.0
1,2048,instructions,22548497617.0
1,2048,cache-misses,6141076.0
1,2048,branches,661163638.0
1,2048,branch-misses,1081663.0
1,2048,duration_time,1660475569.0
2,2,task-clock,197877.0
2,2,cycles,254945584711.0
2,2,instructions,733632799386.0
2,2,cache-misses,162625369.0
2,2,branches,108587525108.0
2,2,branch-misses,1386248187.0
2,2,duration_time,99637830110.0
2,4,task-clock,28684.0
2,4,cycles,45444049048.0
2,4,instructions,155580122540.0
2,4,cache-misses,26184731.0
2,4,branches,16362181307.0
2,4,branch-misses,175181341.0
2,4,duration_time,14489516113.0
2,8,task-clock,6923.0
2,8,cycles,16205769312.0
2,8,instructions,57222820397.0
2,8,cache-misses,8419588.0
2,8,branches,3659659583.0
2,8,branch-misses,25812147.0
2,8,duration_time,3492134843.0
2,16,task-clock,3103.0
2,16,cycles,9058892045.0
2,16,instructions,35368937239.0
2,16,cache-misses,4706269.0
2,16,branches,1543965030.0
2,16,branch-misses,3884680.0
2,16,duration_time,1585607321.0
2,32,task-clock,1929.0
2,32,cycles,5978973280.0
2,32,instructions,28230557997.0
2,32,cache-misses,8161134.0
2,32,branches,1020858580.0
2,32,branch-misses,799829.0
2,32,duration_time,992618609.0
2,64,task-clock,1575.0
2,64,cycles,4938304695.0
2,64,instructions,25232712383.0
2,64,cache-misses,8468859.0
2,64,branches,828657058.0
2,64,branch-misses,1185117.0
2,64,duration_time,819424421.0
2,128,task-clock,1481.0
2,128,cycles,4660215925.0
2,128,instructions,23827363092.0
2,128,cache-misses,11894534.0
2,128,branches,741211284.0
2,128,branch-misses,313429.0
2,128,duration_time,773231573.0
2,256,task-clock,1635.0
