threads,dq,event,value
1,2,task-clock,111173.94
1,2,cycles,246430814694.0
1,2,instructions,723675224726.0
1,2,cache-misses,10074853.0
1,2,branches,106633216700.0
1,2,branch-misses,1399073167.0
1,4,task-clock,16462.7
1,4,cycles,44729159057.0
1,4,instructions,154321471431.0
1,4,cache-misses,6725850.0
1,4,branches,16115427545.0
1,4,branch-misses,175866417.0
1,8,task-clock,3980.22
1,8,cycles,15957078464.0
1,8,instructions,57066469711.0
1,8,cache-misses,4539267.0
1,8,branches,3629172219.0
1,8,branch-misses,26007437.0
1,16,task-clock,1789.17
1,16,cycles,8998639591.0
1,16,instructions,35346384801.0
1,16,cache-misses,2964598.0
1,16,branches,1539324376.0
1,16,branch-misses,3817147.0
1,32,task-clock,1077.11
1,32,cycles,5746552645.0
1,32,instructions,28227250821.0
1,32,cache-misses,7573437.0
1,32,branches,1020123140.0
1,32,branch-misses,779382.0
1,64,task-clock,892.53
1,64,cycles,4822319679.0
1,64,instructions,25229614594.0
1,64,cache-misses,7654575.0
1,64,branches,827799697.0
1,64,branch-misses,1182753.0
1,128,task-clock,868.13
1,128,cycles,4692621409.0
1,128,instructions,23824689510.0
1,128,cache-misses,10175536.0
1,128,branches,740451816.0
1,128,branch-misses,312501.0
1,256,task-clock,904.14
1,256,cycles,4873615779.0
1,256,instructions,23139850801.0
1,256,cache-misses,59836157.0
1,256,branches,697976127.0
1,256,branch-misses,7985431.0
1,512,task-clock,845.44
1,512,cycles,4576693236.0
1,512,instructions,22801113356.0
1,512,cache-misses,34784149.0
1,512,branches,676913583.0
1,512,branch-misses,51454.0
1,1024,task-clock,809.98
1,1024,cycles,4377954692.0
1,1024,instructions,22632572977.0
1,1024,cache-misses,19342205.0
1,1024,branches,666410119.0
1,1024,branch-misses,36920.0
1,2048,task-clock,788.88
1,2048,cycles,4257243604.0
1,2048,instructions,22548495728.0
1,2048,cache-misses,5156126.0
1,2048,branches,661163159.0
1,2048,branch-misses,1081624.0
2,2,task-clock,113909.09
2,2,cycles,254789798983.0
2,2,instructions,733589780766.0
